,Topic,Count,Name,Representation,KeyBERT,OpenAI-4,Representative_Docs
43,42,42,42_break_breaks_broke_parts,"['break', 'breaks', 'broke', 'parts', 'fix', 'replace', 'repair', 'breaking', 'broken', 'buy']","['breaks', 'repair', 'breaking', 'break', 'broke', 'maintenance', 'broken', 'breakeven', 'parts', 'replacement']",['Repairing Broken Household Items'],"[""Usually when something breaks in the house with like if a water pipe break we'd call up the water man. "", 'Anything that breaks we have to buy the parts on our own. But the city employees will fix it. ', 'break and you have to fix it? ']"
44,43,41,43_permafrost_climate_change_deeper,"['permafrost', 'climate', 'change', 'deeper', 'storms', 'sinking', 'changing', 'changes', 'infrastructure', 'hit']","['permafrost', 'arctic', 'climate', 'geotechnical', 'sinking', 'reindeer', 'storms', 'bury', 'environment', 'freezing']",['Permafrost Changes in Climate Change'],"[""It is it is. Yes, that's correct. But they've had the population issue for a few years now. And it's been the big problem is there's some there's some aggressive parasites that are getting into the herd. But, they also. So, so, you get you get ice on, you get an animal that lives on lichens, it'll paw through the snow to get down to the lichens, but they start hitting ice and they're not able to get ice open. So that's the problem that caribou are having. And like I say, up there, muskox up there, in the area, all that rain came down on just literally rotting some of the flesh on their hump. So, he had a real good, real good photo presentation about climate change, and climate change is impacting water and sewer infrastructure in. Right. The ostensible cause everybody's saying is, well, because it rained so hard that the lagoon filled up with too much water, put too much pressure on it, and about a section collapsed. A river that goes up in there, always go needle fishing there, black fish fishing. So, it's got all that effluent there. So, I'm like, Well, you know what, if they're going to rebuild it, they'd better put some thermosiphons in., because who knows, maybe you got a weakness in the permafrost underneath, they haven't done any kind of engineering work to look at that. Like that it's kind of irritating. And then they're gonna build a new lagoon, well, you know, you better do some good geotechnical work here. Don't just, you know, don't just take a hose and we're good, you know, some things that they call money funds. You know, let's, let's spend. They do drill I mean, they do. Find out where that permafrost is, you know, if you got to put a thermosiphon in, put a thermosiphon in. You guys know what thermosiphons are, right? They got them on the. We used to call them VSMs on the pipeline, vertical support members. So, you know, it's going to increase the cost to do it right. But here's the thing. Here's the thing, to do it, right. You're gonna have to spend more money on engineering and design. You're just gonna have to, you're gonna have to do more detailed geotechnical work. It's not just, you know, dig down and have the foreman say,,, that's good. You know, I mean, you gotta you gotta you gotta start getting some stamped reports. And you've got to get a really good outline of, of where the permafrost is, and you've got to start getting better material that that lagoon in was made of pure beach sand. thing mixed into it. We got road gravel one time from. One barge load of tailings million bucks. Delivered.,.. So and I'll tell you this, there's there's another angle, especially in places like. The beach. They started pulling you know, the state doesn't say nothing because so, that's the cost of that's the ecological cost. Ya know. And the cultural cost of getting water and sewer because they used to live in the dunes. Let me show ya. "", ""cost and permafrost, right? Oh,. Let's dig into lagoon let's go down 20 feet from ground level. You know, and they're building Alaska Highway. Talk about permafrost, man they cut and see the problem is once you pop the cover off of permafrost it's like you've shaken up a bottle of pop and then done it., it will not freeze again. So there were a lot of false starts on the Alaska Highway they would start cutting and they would just end up in in cat sinking mud there we better try different route. Out here. They used to have reindeer. And you can still I think see in some places from the air where the reindeer just tore the ground up. Torn up down to the permafrost. And, you know you got buildings that are on pilings. My house heaves. I'm on pilings, you know, permafrost can be bad business. Next time you go to go to the permafrost tunnel. You've heard of that? The Army Corps of Engineers has a permafrost research facility, it's a tunnel. There's really like you go and you see, you know, vegetation and you see, you know, animal remains. It is cool. It is cool. And if you're gonna be thinking about infrastructure of any sort in the north, you gotta think about permafrost. Especially since it's no longer the solid foundation it used to be. There's an anecdotal story that they were building a clinic up in and they were driving piling and it just kept going and going and going and going and going, they kept welding more pieces on going and going and finally somebody said what’s that? Well the piling it hit the ice went like that, and came back up. You know who else to talk to if you haven't, on infrastructure on building conditions is. But you know, go ask her she's got all the time to talk to you about just what challenges has had in, in construction out here. And what challenges they have getting the water, right? What are your challenges in villages where you still don't have good water and sewer into the clinic. They've been fortunate even in places like that’s got a very limited system. The clinic is hooked up to water and sewer.. "", ""because we're already getting permafrost less and less permafrost here, so. ""]"
45,44,40,44_yes_yep_opposite_uhh,"['yes', 'yep', 'opposite', 'uhh', 'unfortunately', '', '', '', '', '']","['yes', 'yep', 'uhh', '', '', '', '', '', '', '']",['Affirmation and Negative Interjections'],"['Yes. ', '.. Yes. ', 'Yes. ']"
46,45,39,45_landlord_rent_apartment_renting,"['landlord', 'rent', 'apartment', 'renting', 'equivalent', 'rentals', 'pays', 'included', 'cheaper', 'gatekeeper']","['landlord', 'rental', 'tenant', 'renting', 'apartment', 'rent', 'rentals', 'renter', 'roommate', 'neighbor']",['Landlord Responsibilities in Rentals'],"['We just let our landlord figure it out. ', ""town, and so it's like, your first call is your landlord, because you don't want to pay for it. And there’s "", 'We would have to talk to our landlord to see if we could even do it. ']"
47,46,39,46_affirmative_hmm_mm_hospital,"['affirmative', 'hmm', 'mm', 'hospital', '', '', '', '', '', '']","['mm', 'affirmative', 'hmm', '', '', '', '', '', '', '']",['Affirmative Mm-hmm in Hospital Context'],"['Mm-hmm (affirmative). ', 'Mm-hmm (affirmative). ', 'Mm-hmm (affirmative). ']"
48,47,39,47_drink_wouldn_tap_thirsty,"['drink', 'wouldn', 'tap', 'thirsty', 'water', 'regular', 'drinking', 'cooked', 'yep', 'makes']","['water', 'drink', 'thirsty', 'drinking', 'soda', 'gatorade', 'dry', 'sink', 'coke', 'tap']",['Drinking Regular and Cooked Water'],"['. Is that the – do you drink that water? ', 'You drink water. ', ', so you drink that water? ']"
49,48,38,48_drink_drinking_drinkable_cook,"['drink', 'drinking', 'drinkable', 'cook', 'straight', 'consuming', 'preparation', 'microbiologist', 'predatory', 'leftover']","['drink', 'beverages', 'drinking', 'drinks', 'drank', 'drinkable', 'tea', 'consuming', 'iced', 'sweetened']",['Avoidance of Consumable Drink'],"['I don’t drink it. ', ""You can't? You don't drink it? "", 'Don’t drink it,. So what do you drink? ']"
50,49,38,49_shower_showers_showered_shampoo,"['shower', 'showers', 'showered', 'shampoo', 'shorter', 'trip', 'wet', 'bath', 'quick', 'day']","['shower', 'showering', 'showers', 'showered', 'bath', 'showerhead', 'bathroom', 'wet', 'wash', 'rinse']",['Frequency and Preferences in Showering'],"[', and to shower and that kind of thing, what do you do? ', ""that. Well, I mean, this shower, the shower is like that. I mean, that's thing. I don't know if people have "", "". And he only showers once a week. That's just what he does. Oh, well. I like to shower ""]"
51,50,38,50_right_exactly_random_irony,"['right', 'exactly', 'random', 'irony', 'understood', 'uh', 'straight', 'yep', 'yes', 'feel']","['right', 'exactly', '', '', '', '', '', '', '', '']",['Understanding Right with Irony'],"['Right. ', 'Right ', ' Right. Right. ']"
52,51,37,51_challenges_challenge_challenging_responding,"['challenges', 'challenge', 'challenging', 'responding', 'creative', 'battles', 'flaked', 'toughest', 'occurred', 'powerpoints']","['challenges', 'challenging', 'challenge', 'challenged', 'battles', 'toughest', 'tough', 'things', 'hard', 'project']",['Responding to Creative Challenges'],"['any challenges with anything like that? ', 'challenges. ', 'challenges- ']"
53,52,37,52_distribution_infrastructure_systems_planning,"['distribution', 'infrastructure', 'systems', 'planning', 'completed', 'certainly', 'relevant', 'number', 'challenges', 'managerial']","['infrastructure', 'distribution', 'systems', 'delivering', 'community', 'capacity', 'building', 'challenges', 'design', 'resources']",['Distribution Infrastructure Systems Management'],"['infrastructure. ', 'infrastructure? ', 'So, speaking to the distribution system, when you have a community with a distribution ']"
54,53,37,53_truck_trucks_driving_meter,"['truck', 'trucks', 'driving', 'meter', 'drivers', 'driver', 'stuck', 'principles', 'meters', 'sewer']","['trucks', 'truck', 'sewer', 'tanker', 'water', 'driving', 'trailers', 'drove', 'driver', 'pump']",['Truck Drivers and Water Meters'],"['truck drivers and four sewer truck drivers, one garbage truck driver during the day. Water ', ""couple of Super Girls. Because so I'm driving coming into town to drop my son off at work. Big blizzard. Biggest one we had this winter. Total white out, everything looked like this table. And all of the sudden my son's like oh no. Off the side on the other side of the road. I'm stuck. I wasn't super badly stuck. But why don't water and sewer trucks get stuck? Ya know, they were a little higher up, they had a little better perspective. You know, the state trooper came in to pull us out. It's a tough job driving them things. You know, it really is. You don't just need a CDL you need you know, some gotta be pretty sharp. Because, you know, one minute you driving a truck that's empty. the next minute you're driving a truck that's full of sloshing excrement. And it's just like, I mean, use the principles of, you know, principles of stability in a ship right to oil tanker., you know, center of gravity, all that. And these guys are, are backing into, you know, really tight spaces. You know, kids’ bikes in the way I mean, places where they've got. Have you talked to ? "", ""Right. And they use a lot of water., that's, that's really what the kicker is. And it's metered. That's the other thing is our water trucks don't meter. The meter is going and they're using a timer. Anyway So then you've got some accurate numbers to the meter where you don't really. one of the issues up in Alaska anyways, is meters in the wintertime tended to freeze up. But we were able to find, we were able to find a meter that will do and we had we had them installed in the new trucks. So that was the other thing, if you do truck is that they actually work with the manufacturer to spec your truck out for your needs. That's why we got the meters where before we didn't, and, and whatever else, we listened to the heavy equipment operators about how the truck was actually made, you know, this, this will hold up here. And the trucks we were getting off the shelf were falling apart. So that was if you do truck, that was an important part about it too. ""]"
55,54,36,54_difference_different_term_newer,"['difference', 'different', 'term', 'newer', 'unique', 'inextricably', 'linked', 'terminology', 'substantial', 'pretty']","['different', 'difference', 'compare', 'similar', 'basically', 'like', 'better', 'newer', 'versus', 'specific']",['Understanding Differences in Terminology'],"['different. ', ', that’s a big difference. ', 'I don’t see any difference. ']"
56,55,36,55_pump_pumps_pumphouse_pumping,"['pump', 'pumps', 'pumphouse', 'pumping', 'slower', 'turn', 'hoppers', 'inverter', 'grinds', 'house']","['pump', 'pumps', 'pumping', 'pumphouse', 'hose', 'motor', 'water', 'inverter', 'pressure', 'valve']",['Water Pumping and Inverter Usage'],"['little where you can pump it ', 'pump it pump it further away from the. ', 'Then you got the water pump. ']"
57,56,35,56_run_running_complained_ran,"['run', 'running', 'complained', 'ran', 'runs', 'water', 'times', 'packs', 'don', 'friend']","['water', 'rarely', 'running', 'rainwater', 'sink', 'run', 'pump', 'leaking', 'flowing', 'runs']",['Running Out of Water'],"['So do you ever run out of water then? ', 'So have you ever run out of water? ', 'Do you ever run out of water? ']"
58,57,35,57_washing_steam_mop_rinse,"['washing', 'steam', 'mop', 'rinse', 'wash', 'soap', 'use', 'baths', 'dishes', 'lessen']","['washing', 'bathing', 'baths', 'bathe', 'wash', 'showering', 'rinse', 'bath', 'cleaning', 'water']",['Using Water for Domestic Cleaning'],"['We usually pick it up for steam bath. For steam bath, for washing. ', 'And then we use it for washing, drinking. Use it for cleaning, washing dishes. The summertime we use ', ',. Use it for washing dishes or steam baths. Use that water. ']"
59,58,34,58_delivery_delivering_deliver_delivered,"['delivery', 'delivering', 'deliver', 'delivered', 'late', 'missed', 'fault', 'ahead', 'service', 'day']","['delivery', 'deliveries', 'deliver', 'delivering', 'delivered', 'delays', 'haul', 'bringing', 'holidays', 'order']",['Late Delivery and Service Issues'],"['Delivery?. All right. And do you like that? ', 'We’re delivery. ', ' and do you ever, did they ever missed delivery? Like a day or two late? ']"
60,59,33,59_river_lake_mountain_lakes,"['river', 'lake', 'mountain', 'lakes', 'breakups', 'natural', 'stream', 'ride', 'bank', 'away']","['river', 'rivers', 'freshwater', 'rainwater', 'water', 'lakes', 'lake', 'boating', 'boat', 'watering']",['River Water Retrieval Journey'],"['Are they across the river though? ', 'the river water. ', 'River. ']"
61,60,33,60_change_wand_thing_wave,"['change', 'wand', 'thing', 'wave', 'husband', 'water', 'magic', 'services', 'fix', 'tweaks']","['water', 'change', 'changing', 'pipes', 'filtration', 'improvements', 'infrastructure', 'tweaks', 'changed', 'different']",['Improving Community Water System'],"['like, if you could change anything about your water system, is there something you would change? ', ',. If you could change anything about the water system, what would you change? Or is it ', '.. And so what would you change about your water system? ']"
62,61,32,61_option_expanded_uses_better,"['option', 'expanded', 'uses', 'better', 'use', 'lasting', 'best', 'extra', 'offset', 'form']","['option', 'think', 'additional', 'expanded', 'expand', 'sense', 'extra', 'isn', 'just', 'got']",['Exploring Expanded Optional Uses'],"['.. So that if they expanded and you had an option you would absolutely go on it. ', ""wasn't an option, do you think you still would have? "", 'option you would have - ']"
63,62,32,62_laundromat_laundry_drink_laundromats,"['laundromat', 'laundry', 'drink', 'laundromats', 'detergent', 'sticks', 'ice', 'washing', 'loose', 'likely']","['laundromat', 'laundromats', 'laundry', 'washing', 'detergent', 'school', 'water', 'pipes', 'pool', 'chlorine']",['Laundromat Laundry and Washing Essentials'],"['from laundromat. ', 'At the laundromat. ', 'Laundromat.. ']"
64,63,31,63_hauled_packing_haul_extra,"['hauled', 'packing', 'haul', 'extra', 'unless', 'stay', 'hauls', 'jack', 'serviced', 'ideal']","['hauled', 'hauling', 'hauls', 'haul', 'packing', 'collecting', 'supply', 'serviced', 'delivered', 'dragging']",['Hauled Packing and Servicing'],"['.. Hauled. ', 'Hauled. ', ""it's hauled? ""]"
65,64,30,64_honey_bucket_buckets_dumping,"['honey', 'bucket', 'buckets', 'dumping', 'weeding', 'dump', 'cell', 'outhouse', 'initially', 'dip']","['bucket', 'honey', 'buckets', 'toilet', 'gallon', 'piped', 'sewage', 'catchment', 'smell', 'hauled']",['Honey Bucket Usage and Disposal'],"['A honey bucket. ', 'had a honey bucket ', ""They're honey bucket. ""]"
66,65,29,65_regulatory_regulators_federal_dec,"['regulatory', 'regulators', 'federal', 'dec', 'compliant', 'compliance', 'fine', 'operations', 'osha', 'heed']","['regulations', 'compliance', 'regulation', 'enforcement', 'regulatory', 'federal', 'oversight', 'regulators', 'compliant', 'jurisdiction']",['Federal Regulatory Compliance and Fines'],"['Regulatory and enforcement and compliance. ', "" they write it up. They should identify it. And once again, you're going back to, you would hope that identifying deficiencies, they get corrected, you would hope that identifying things that aren't being done correctly, whether it be sampling or things like that, the emphasis is placed on correcting it, and there's a desire to correct it, not to just continue doing what you're doing. And that's why I say go look at a case study where it's possible that people did not heed the advice and heed the warnings. And they kept doing their own thing. And then the federal government stepped in and said,, we're here. Here's your fine, it's huge. And you're building a new plant, and you're upgrading your collection system. And we're going to continue oversight until you go five years with no violation. "", ""And that's part of it is, you probably look at the number of communities that are out there, the number of reports or files that they get, and the ability for them to oversee all. And I don't know, I don't know that side of it. Because when I see a sample, it's easy to go take the sample. It's easier than writing that letter that I gotta pull up the CCR. Right, it's easier, just go take it, it's what you got to do to do it. I don't know how you get in a situation where it goes from lack of compliance, lack of enforcement, to the point and if you wanted to look at a case study, I mean, it's the thing in, Alaska, it's to where it got so bad that the DEC or the EPA filed a federal lawsuit against them, to where they entered into a consent decree and the federal court system took over, basically jurisdiction telling them what they would do for their system. The system, they would build the timeframe to do it to achieve benchmarks, and then to be 100% compliant for 20 consecutive quarters. Five years, five years, they cannot have a violation. How does it go from that situation where you have a community that's thriving, that makes a lot of money in the fishing industry, to where you're non-compliant? And then the federal government actually steps in and issues a consent decree. How does that happen? I don't know. ""]"
67,66,29,66_alaska_sewer_state_management,"['alaska', 'sewer', 'state', 'management', 'years', 'vsw', 'going', 'honey', 'fix', 'infrastructure']","['outreach', 'infrastructure', 'sanitation', 'rural', 'alaska', 'sewer', 'communities', 'utility', 'legislature', 'villages']","[""Alaska's Infrastructure and Sewer Management""]","[""I think you'd have to look at the whole big picture.. And nobody's on that level playing field yet. So how can we all say that we're equal when we're not all there yet? I remember years ago, going down to conference in. And it was Native leaders from all over the state working for, staff like me, working for nonprofits to come together with what were our legislative priorities, and we're all at tables. And this one lady, this beautiful, Tlingit lady came to our table, and she wanted to interrupt us to ask us if we would present a proposal for her. And this was about building another gathering community center, down in southeastern. So in southeastern Alaska, those were like the first people to become exposed to Western. And they'd have a lot of time to organize and be good be together, they live in a temperate environment that doesn't have the extreme weathers that we have, they have access to resources, the ocean is their table. So she's trying to sell us on taking that into our group and presenting it as a priority to the whole group that we're going to present to legislature and I looked at her I said, you know, my people don't even have flush toilets and running water. I can't, in my right mind, I can't support something like this, a Taj Mahal, down in southeastern when my people don't even have flush toilets and running water. So the state of Alaska too, has got those differences in in the way we're served. So I think it's going to have to be looking at the big picture and what can we do here? Because it's going to be totally different than what we're gonna do there. "", ""had not been a real big community because the riverbank kept eroding. Right. In fact, they were told this might not be the best place to settle. is where they would come. They'd fish, they'd come here and dry their fish. Smoke their fish then go back to where they live in the winter. But people started coming here, you know, guys, married ladies for wives, you know. So we've got some interesting, family compositions here and they came from both directions. Some people came to, they had kind of crossed over the Alaska range prospecting again and some came because there's a lot of there's a lot of sea traffic that came up. So that was hauled water and sewer in. And it has evolved to the system that we have now, the hauled system that we've got, which is still nowhere near perfect. A lot of people wish they could pay by the gallon for their water, the argument would get made. Well, water meters don't work in cold weather. Well they work for a company, right? The water company. My daughter gets water from them., they meter. They meter. So people of course packed water and spilled a honey bucket. After a while the community realized that, well that's a little too willy nilly. So, the city started a water and sewer haul system, and on your day, the sewer guy would come in your house. Pick up your honey bucket, tramp his boots through the living room through the kitchen. Wherever. Spill it in the back of the truck, bring it back and the water truck would come and they would scoop out, you know, five gallons of water, and fill your water bucket. And of course we put huge miles on our vehicles. Get the heck beat out of them and then a few years ago nobody saw this in their bingo card. State weighs and measures came out and oh by the way your water trucks are like 2000 gallons too big for weight load on pavement. So we had to buy smaller water trucks. "", 'So I\'ve lived in Alaska since. But when I lived there, there wasn\'t much a sewer lagoon. And there was a dump. We used honey buckets, packed water from the wellhouse. And, of course chipped ice, you know. But sanitation was you know, pretty poor.. And at one point we had a choice. We could go with a flush haul system that could start getting put together fairly quickly. Or we could wait to get piped water and sewer. And very wise elder, he said. "", forget that."" He didn\'t say that way. He said ""forget that flush haul. We want pipes!"" VSW, and I imagine you guys understand the difference between Village Safe Water (VSW) and IHS. and because you know, as all municipalities, right, has the relationship with VSW. And, you know, back in the old days, would call VSW engineers, probably the most trusted state employees, you know, from community\'s perspective. Because those guys they had to know everything going on the village and know more about village politics than the city administrators. You know, to be able to do their job. Be able to come in and say hey, look, you know, I need you guys to approve this and it was it was really great. They had money, they were able to travel. was our engineer for a long time.. So, we went fly by night for a while. We used VSW to build what we called sanitation roads because everybody hauled their honey buckets by Honda. We got some really horrible roads, we gotta fix these roads. So, they said alright, call them sanitation roads. Tear the beach up, which has been going on for decades. Taking the sand off of it and you know, fix the roads. They actually built. So that put a lot of guys to work. And he came back. And what can we do next? You know, I said, well, you know, we\'re planning on getting a honey bucket lagoon. At one time in there were, oh, man, ponds right in the village that people dumped honey buckets in. I\'ll tell you, on a hot day, You knew what it was. And so, I was, well, let\'s clean these things up, you know. So, we got grant money, hired the guys, got them all Tyvek suits and some nice aluminum rakes. Fabricated because what happened was when. Two things have done more damage to the earth than anything else. Two consumer products. Diapers, which filled landfills. You should have learned that in civil engineering 101. Right? Used to be a landfill was just a big empty hole on the outside of town where people threw their refrigerators and their plastic and their paper, grocery bags full of trash. And then along came Pampers. And all of a sudden, the diaper services. I know all of you, including you, are too young to remember diaper services. ']"
68,67,29,67_toilet_flush_toilets_bathroom,"['toilet', 'flush', 'toilets', 'bathroom', 'flushed', 'vacuum', 'airport', 'waste', 'grease', 'bowl']","['toilets', 'toilet', 'flush', 'flushing', 'bathroom', 'sewer', 'sanitary', 'flushed', 'drain', 'water']",['Toilet Flushing Systems and Maintenance'],"['… kind of in the toilet there. ', ', he sure did. Wow, flush toilet. ', 'water to flush the system to flush the toilet. Really a lot of people were like because that would be ']"
69,68,28,68_nation_meant_rest_kinda,"['nation', 'meant', 'rest', 'kinda', 'everybody', 'look', 'stuff', 'didn', 'doing', 'thing']","['thing', 'kinda', 'stuff', 'meant', 'look', '', '', '', '', '']",['National Perception and Inclusivity'],"['kinda thing. ', 'meant for everybody. ', 'for the rest of the nation. So- ']"
70,69,28,69_particularly_nice_regulate_reviews,"['particularly', 'nice', 'regulate', 'reviews', 'needles', 'fair', 'prefers', 'water', 'haha', 'disconnected']","['water', 'pumps', 'pump', 'systems', 'flows', 'things', 'supply', 'prefers', 'sources', 'gas']",['Preferences in Water Systems'],"['we want to hear. Let me look at my – so is there anything you particularly like about your water system? ', ', that makes sense. Is there anything you particularly like about your water system? ', '. That makes sense. Is there anything you like about your water systems particularly? ']"
71,70,28,70_treatment_treated_plant_small,"['treatment', 'treated', 'plant', 'small', 'hindering', 'treatments', 'consultation', 'tricky', 'exceptions', 'adjustments']","['watering', 'treatments', 'treatment', 'water', 'treated', 'plant', 'plants', 'faucet', 'process', 'washeteria']",['Local Water Treatment Discussions'],"[""water treatment one or water treatment two, whatever, that's probably fine. But I just… "", '. At the treatment plant? ', 'Everywhere... Do you ever get water from the treatment plant? ']"
72,71,28,71_utility_rural_management_similar,"['utility', 'rural', 'management', 'similar', 'cooperative', 'centralized', 'party', 'combined', 'cooperator', 'sexual']","['utility', 'utilities', 'management', 'cooperative', 'administration', 'centralized', 'councils', 'systems', 'assisting', 'coordinator']",['Utility Management in Rural Cooperatives'],"['was that? Utility management? ', 'That was utility management. ', 'utility. ']"
73,72,28,72_use_drinking_uses_showering,"['use', 'drinking', 'uses', 'showering', 'household', 'noodles', 'hot', 'biggest', 'water', 'rice']","['water', 'drink', 'drinking', 'showering', 'washing', 'coffee', 'boiling', 'soak', 'gallon', 'cleaning']",['Uses of Drinking Water'],"['we use that for drinking water.. ', 'Do you do that with all of the water you use or just the water you’re drinking? ', 'water for drinking? What else do you use water for? ']"
74,73,28,73_safe_drink_clean_regulated,"['safe', 'drink', 'clean', 'regulated', 'restaurant', 'beer', 'root', 'trust', 'healthy', 'boil']","['water', 'contaminants', 'safer', 'unsafe', 'drink', 'drinking', 'health', 'healthy', 'beer', 'safe']",['Safe and Clean Drinking Water'],"[""I think there's also, at least in my head healthy and safe are two different things, right. And so if I was someone who didn't think my water was safe, I wouldn't necessarily say root beer is healthier than water. But I might say at the moment, this is safer. "", "", I would say overall, and I've gotten I may have spoken out of term here and there with a couple people but especially travelers coming in. With people complaining about water quality, I would tell them that it's safe. If they wanted to not believe me and they wanted to actually check instead of complaining that they should look on the city site and look for their Consumer Confidence Report. And they can read through there that the water quality is safe to drink. And if they had any aesthetic issues with it that they can use a filter if they so pleased. But if they had like a water tank that had flakes in it? Well, it's kind of like, if you're going to move into a place, you should probably check that out and clean it out yourself. one's going to do it for you. There isn't like a service, for the most part that somebody is going to come and clean your personal water tank for you. But for the pipe system,, it's safe. And it's safe to drink. When you get your water that comes whenever you have it set up? "", ""Um, no, that's, that's pretty good. There is the aesthetic, and then the, whether it's safe to drink. And you know, the safe to drink is interesting, because that's driven by national standards. And that creates a lot of cost and a lot of burden in communities because they don't necessarily make sense for the community and where it's at. They can produce a safe water that may not meet the standards. And so that is a whole interesting thing. It's like you get this thing that says your water is bad, even though your water is perfectly safe to drink. But it's not meeting some national standard that kind of doesn't apply well. ""]"
75,74,27,74_hauled_piped_pick_transition,"['hauled', 'piped', 'pick', 'transition', 'pipeline', 'switch', 'piping', 'option', 'start', 'vs']","['hauled', 'hauling', 'pipe', 'piped', 'pipes', 'pipeline', 'piping', 'haul', 'moved', 'tanks']",['Transitioning Between Hauled and Piped Systems'],"[', nice. Are you on a piped or a hauled system? ', ' is piped in part of its hauled. Is that piped system something that you would like want to ', 'We on hauled and piped. ']"
76,75,27,75_city_talent_excellent_slacking,"['city', 'talent', 'excellent', 'slacking', 'sized', 'stacks', 'kansas', 'constraints', 'understaffed', 'responsive']","['city', 'cities', 'town', 'kansas', 'people', 'school', 'miles', 'address', '', '']",['Kansas City Understaffed Talent'],"['It’s the city,. ', 'From the city? ', 'City ']"
77,76,26,76_quality_aesthetics_dip_challenges,"['quality', 'aesthetics', 'dip', 'challenges', 'water', 'helped', 'justified', 'dramatically', 'changing', 'relatively']","['water', 'drinking', 'complaints', 'concerns', 'conserve', 'quality', 'issues', 'poor', 'challenges', 'complaint']",['Water Quality and Challenges'],"[""side? You'd said that it had better water quality? "", 'there water quality challenges as well? ', 'Because of the water quality? ']"
78,77,25,77_change_changes_heralded_celebrated,"['change', 'changes', 'heralded', 'celebrated', 'make', 'important', 'wouldn', 'feel', 'professionals', 'pe']","['change', 'changing', 'changes', 'wouldn', 'know', 'new', 'control', 'things', 'afraid', 'fix']",['Embracing Important Professional Changes'],"['would you change? ', 'change something? ', ',. If you could change ']"
79,78,25,78_makes_sense_fair_painful,"['makes', 'sense', 'fair', 'painful', 'oh', 'confusing', 'wow', 'complaint', 'gotcha', 'assessment']","['sense', 'confusing', 'interesting', 'gotcha', 'oh', 'totally', 'fair', 'know', '', '']",['Evaluating Sensibility and Fairness'],"[', that makes sense. ', ', that makes sense. ', ', makes sense. ']"
80,79,25,79_delivered_deliver_restricting_squeal,"['delivered', 'deliver', 'restricting', 'squeal', 'gets', 'order', 'pivot', 'grandchildren', 'restaurants', 'grandkids']","['water', 'deliveries', 'delivery', 'deliver', 'drain', 'delivered', 'containers', 'piped', 'drink', 'customers']",['Water Delivery Experiences'],"['can almost when it first gets delivered, you can smell it in your house, but the water isn’t delivered. You ', ""that don't get water delivered but delivered themselves. "", '.. w what about so you get water delivered? ']"
81,80,24,80_chemicals_chemical_chemically_minerally,"['chemicals', 'chemical', 'chemically', 'minerally', 'icky', 'interfere', 'labels', 'contents', 'hills', 'monochloramine']","['chemicals', 'chemical', 'contaminants', 'chemically', 'monochloramine', 'taste', 'ph', 'water', 'mix', 'minerally']",['Chemical Usage and Impact'],"['chemicals, and they were high ', 'More of chemicals ', 'Or like how much chemicals did we use or? ']"
82,81,23,81_turnover_workforce_human_positions,"['turnover', 'workforce', 'human', 'positions', 'face', 'affect', 'filling', 'layoffs', 'ask', 'challenges']","['turnover', 'workforce', 'layoffs', 'staffing', 'personnel', 'staff', 'shortage', 'hiring', 'positions', 'managerial']",['Workforce Turnover and Position Challenges'],"['. And do you feel like it changed the workforce? I mean, did it change turnover, or ', 'What would help with turnover? ', ""to go out as often but that's a challenge too because there's turnover. ""]"
83,82,23,82_accessing_fan_difficulty_greatest,"['accessing', 'fan', 'difficulty', 'greatest', 'beat', 'salty', 'competitive', 'water', 'highly', 'bathroom']","['water', 'bathroom', 'air', 'surface', 'answer', 'service', 'away', 'salty', 'fan', 'guess']",['Competitive Access to Water'],"[""bathroom water, it's, but not the greatest. "", ""water. Maybe even worse than where I'm at now, which is hard to beat. But there, when you turn to the "", ""water. I mean, it's, it takes away so much of the difficulty of accessing the service and the costs. And ""]"
84,83,23,83_insulated_heat_tape_insulation,"['insulated', 'heat', 'tape', 'insulation', 'heated', 'inside', 'insulate', 'box', 'turning', 'outside']","['insulated', 'insulation', 'insulate', 'heating', 'heated', 'heater', 'inside', 'cold', 'pipes', 'outside']",['Insulation of Heated Indoor Spaces'],"['So it works really well. And it’s very good and insulated. ', '. Are your pipes insulated or? ', '. It’s insulated. Actually, ']"
85,84,22,84_bucket_buckets_rain_carry,"['bucket', 'buckets', 'rain', 'carry', 'gallon', 'thank', 'lawn', 'cute', 'slices', 'living']","['bucket', 'buckets', 'gallon', 'piped', 'water', 'waters', 'lawn', 'carrying', 'hat', 'rain']",['Utilizing Buckets for Rain Collection'],"['We, we use the bucket. ', 'Bucket.. Got it. ', 'Do you have a system or you have a bucket? What do you how do you get it? ']"
86,85,22,85_level_tier_twos_leveled,"['level', 'tier', 'twos', 'leveled', 'approval', 'plan', 'decisions', 'operating', 'levels', 'pursuing']","['levels', 'level', 'leveled', 'tier', 'tiers', 'highest', 'right', 'like', 'gets', 'able']",['Level-Based Approval System'],"['. So, you can like see the level? ', ""That one,, so they're a level system. "", ""He can't get a level, but he can get a level. ""]"
87,86,22,86_mm_hmm_affirmative_yes,"['mm', 'hmm', 'affirmative', 'yes', 'hole', 'true', 'middle', 'couldn', 'definitely', 'tell']","['mm', 'affirmative', 'hmm', 'hole', 'yes', 'true', '', '', '', '']",['Affirmative Responses and Acknowledgments'],"['. Mm-hmm (affirmative) ', 'Mm-hmm (affirmative). Some do.. ', '. Mm-hmm (affirmative) ']"
