,Set,Interview,Page,Block,Speaker,Text,Time_Mark
1142,21-22 Combined,INTERVIEW 13 ,230,1,Interviewee ,"Yeah, I mean, pipe system. PASS is a disaster that we just haven't found out is a disaster yet. But everything  we've learned over the years, like went out the window when they designed PASS. I'm not even sure it's  better than nothing is the problem, right? It's the perception you have something but you really don't  have anything more than the bucket of water you've already hauled. It's just now in this thing so I can get  it out of my faucet. but yeah, our perspective is piped water and sewer for every community. That is the  thing that's going to change the health issues. It's going to have the greatest impact. Mmm, is that long  term sustainable? I think it is in more places than we give it credit for. I don't think we look at sustainability  right. When we get pipes in a community, it's amazing. The community could not afford a honey bucket  system, but all of the sudden they can afford a pipe water system, because it's something worth paying  for. No one's gonna pay a dime for PASS. PASS has a lot of parts that need to be changed and fixed. It's  kind of a complex system, we've done that with co-water, we've done that with different things. Long  term, they always run into these huge roadblocks. And the service doesn't equal the cost. You know, I pay  [REDACTED] a month for my water, not because I want to. But because that's what gets me a level of  service that I don't have to worry when I turn on my faucet or when I flush my toilet, I'm gonna have  water. And so communities we found can afford much more than, like the EPA modeling says they can. ",1:09:13
1145,21-22 Combined,INTERVIEW 13 ,231,1,Interviewee ,"And they're willing to pay more for good service. So I really think pipe water is the best thing for most  communities. Some of our smaller communities, it might not be, you know, I'd like to see more individual  wells in some small communities and septics and things where it's more sustainable. But I think that we  can have like, high level of water use at every home. It's just gonna look a little different in each house,  each community. ",1:09:13
1147,21-22 Combined,INTERVIEW 13 ,231,1,Interviewer 1 ,Well we're kind of pushing up against time. I super appreciate this. This is really good stuff. Useful. What  am I missing [REDACTED]? What other things would you want us to know? What should I have asked you  about? ,1:11:49
1146,21-22 Combined,INTERVIEW 13 ,231,1,Interviewee ,"I don't know. We've talked about a lot. Um, alright. Yeah, water sewer. It's um, it goes on and on. ",1:12:09
1148,21-22 Combined,INTERVIEW 13 ,231,1,Interviewer 1 ,Is there anyone else you think I should talk to? ,1:12:22
1075,21-22 Combined,INTERVIEW 13 ,219,1,Interviewer 2 ,"Are a lot of the complaints kind of more about the aesthetics of the water like taste, smell, not necessarily  like the quality like primary water regulation, more? ",20:02
1071,21-22 Combined,INTERVIEW 13 ,219,1,Interviewee ,"Almost every complaint is about aesthetics. Occasionally, we'll get some higher-level complaints that are  actually really justified about water quality. But that's generally when like a village is way out of  compliance for a long time and someone you know, wants to know why and how come we can't get it  back. But most of it is just aesthetics. ",20:16
1074,21-22 Combined,INTERVIEW 13 ,219,1,Interviewer 1 ,So it sounds like you work all over the place. So some of these questions might need to qualify a little bit  but can you tell me about the how drinking water is provided in the places that you work? ,20:44
1072,21-22 Combined,INTERVIEW 13 ,219,1,Interviewee ,"Oh, yes. Um, so yeah, I basically I have communities that I work with that have all levels of service from  fully piped, turn on the sink in the home and safe drinking water comes out of the tap. So just standard  flush the toilet, it all goes away like it's a standard, you know, pressure system gravity. So then, that'd be  [REDACTED]. It's standard, what you'd see in lower 48. No extra freeze protection stuff or anything. They  don't even circulate the water. But they have buried pipes and they're warmer little pocket of climate  where they're at. Most of my pipe communities have a circulating water system. So circulates treated  water, always moving around the village being heated. And then you know, comes into your tap and then  goes out either through a gravity sewer with lift station or we have several low pressure. Low pressure  sewer systems like a little lift station at every house. So then we have haul systems, I have several  communities that are a small haul system, they have a 200 gallon trailer that they take around and haul  water to houses they fill a anywhere from 100 to 150 gallon tank in the house with water that's treated  water that comes from the water plant hauled to the house, pumped into the tank. And then they have a  septic tank that is pumped out weekly as well or monthly however often they get service. Most of those  small haul communities do service on an as-call basis. So in other words, it's not a regular service.  Whenever the home calls for service, they get service. It's the most expensive way to run that system.  Because there's absolutely no management of where that trailer is going to haul water or pickup  sewerage. Like all over and sometimes the guy just sits around waiting for someone to call. Then I have  communities that have a central watering point. And this is either at a washateria or just at a well building  and they can go fill containers and they self-haul their water from there. Generally, in large trash cans or  five-gallon buckets, haul it to their house some people take that in and put it inside some people just  bypass the watering point completely go down to the river and chip ice because they prefer the ice water ",20:59
1076,21-22 Combined,INTERVIEW 13 ,220,1,Interviewee ,"over the treated water with chlorine and they some people use the ice water. So all different levels. In a  lot of the self-hauled communities, people will haul water for cleaning but chip ice for drinking. And so a  little different than you'd expect. They like the taste of ice water. The cleaning water is much easier to get  from the haul point because you just pull up press a button and it comes out of the hose. So yeah. The  self-haul ones where they're self-hauling water. They're generally on honey buckets. So their waste is in a  honey bucket that they either self-haul to a lagoon or they put out and it's collected and hauled to the  lagoon for them. ",20:59
1080,21-22 Combined,INTERVIEW 13 ,220,1,Interviewer 1 ,How has the situation changed over time? I guess you've got [REDACTED] years right? Have you seen? ,25:04
1077,21-22 Combined,INTERVIEW 13 ,220,1,Interviewee ,"Lot of things have changed. Lots of things stayed the same. I've had a few communities go from honey  bucket to fully piped, which has been interesting to watch that process. And watch how it changes that.  I've had communities go from hauled to pipe as well. But honestly, there's [REDACTED] communities out  of [REDACTED], [REDACTED] communities out of [REDACTED] I started with that have moved up in service.  So most of my communities have stayed the same as they were [REDACTED] years ago. So. Yeah. ",25:12
1081,21-22 Combined,INTERVIEW 13 ,220,1,Interviewer 2 ,"And following up on that, have you seen any kind of more deterioration of some of these maybe because  of aging infrastructure? Or not really? It's kind of just stayed the same? ",25:58
1078,21-22 Combined,INTERVIEW 13 ,220,1,Interviewee ,"No, it's a complete disaster. Um, yeah, I mean, we have, we have plants that, you know, they're built with  a 20 year life expectancy, generally, and most all of the plants were past their 20 year life expectancy  when I started work. And we're still using some of those plants today. Yeah, probably half my water plants  are still operating the old plants they did [REDACTED] years ago. And so some of those with utterly crazy  plans to rehab and continue using that facility another [REDACTED] years. We're talking about a facility  was made in the [REDACTED] and was barely adequate then. And now we're talking about using it for  another [REDACTED] years from now. So yeah. Yeah. ",26:10
1082,21-22 Combined,INTERVIEW 13 ,220,1,Interviewer 2 ,"Do you find that I, we kind of touched a little bit on the funding piece earlier, but is it almost easier to get  things funded if something goes really wrong, like and using emergency funding, compared to actually like  maintaining the system or improving it. ",27:10
1079,21-22 Combined,INTERVIEW 13 ,220,1,Interviewee ,"So [REDACTED] was a perfect example. It's [REDACTED], that the village of [REDACTED], their water plant  burnt down. They've been in this process the entire time [REDACTED], they've got money and lost money  because they couldn't meet funding requirements. So money was allocated and went away. And money  was allocated and went away. They were at [REDACTED], they had been in a [REDACTED] to meet some  requirements. So funding can be released under special conditions to finish work that was started  [REDACTED] years ago. So this was just a little bit of funding to finish up work. Not even to build the new  water plant yet. And that was getting nowhere, like literally, the money wouldn't be released because it ",27:26
1083,21-22 Combined,INTERVIEW 13 ,221,1,Interviewee ,"couldn't meet some things like nothing was happening. We weren't even talking about a new water plant  yet. Their water plant burnt to the ground, instantly an emergency. Everybody, they now have  [REDACTED] in place. And they will have a water plant, a new water plant [REDACTED] in the village. Right  now [REDACTED] helped arrange get in there. But um, more funding has been released and spent  [REDACTED], more progress has been made than the entire [REDACTED] before that. Because emergency  made, and it was it was one of those plants that was it was over [REDACTED]. And it was in horrible shape  after [REDACTED]. I mean, we had, you know liners in water storage tanks because they'd actually rotted  through. And we were needing to replace the liners because the liners were leaking because they were  past their life expectancy. I mean, I was like yeah, we had epoxy holding the filter vessel from just spraying  water out. Crazy level of worn-out equipment. And the village actually spent, ahead of that fire, they had  spent I don't know [REDACTED] dollars upgrading pumps and filter parts and they had done a great job in  [REDACTED] prior to that. Bringing the water quality up in the plant and like making a lot of expensive  repairs. That got them nowhere towards a new project [REDACTED]. ",27:26
1086,21-22 Combined,INTERVIEW 13 ,221,1,Interviewer 1 ,[REDACTED] ,30:18
1084,21-22 Combined,INTERVIEW 13 ,221,1,Interviewee ,[REDACTED] ,30:21
1087,21-22 Combined,INTERVIEW 13 ,221,1,Interviewer 1 ,"So talking about people a little bit, you know, we've heard you talk about people that call you because  they're advocates. But we've also heard you say that, you know, some people happily prefer to drink, you  know, chipped ice. So, can you talk to us a little bit about what water infrastructure means to the people  that you work with? ",30:29
1085,21-22 Combined,INTERVIEW 13 ,221,1,Interviewee ,"So you know, the common thing is, most people think of water as in drinking. And the real benefit we  found in this region is not water as in drinking, but water availability, for cleaning, for bathing, for all that  stuff. Communities that haven't had running water at their house, once they get used to the adjustment,  and they can just put the kids in the bathtub and run the bath. And this is actually more with the  grandparents than with the parents is the interesting thing. The grandparents are so excited that they can  do this with their grandkids, because they've lived so long without this, it's like it's a dream come true to  have these, these basic functions of water in the house, they may still chip ice for their preferred drinking  water. But they love the fact that they can wash and that they can clean and they see a lot of disease rates  go down and other stuff. So the water infrastructure is much more than just about drinking. And the  largest benefit and why most people want to keep it is not the drinking water aspect, but all the other  aspects of it, how it changes their life. ",30:56
1088,21-22 Combined,INTERVIEW 13 ,221,1,Interviewer 1 ,"We talked about some of the challenges that water infrastructure faces. And about sort of, so it seems  like there's issues of sort of quality and of quantity. And then also the sort of the quality issue is sort of  split into two pieces. You talked about aesthetic quality, but then there's also sort of, is water safe to ",32:25
1092,21-22 Combined,INTERVIEW 13 ,222,1,Interviewer 1 ,"drink? Is that, am I kind of understanding the, you know if somebody said, well what's the problem with  water? Am I getting that right? Or is there more to that? ",32:25
1089,21-22 Combined,INTERVIEW 13 ,222,1,Interviewee ,"Um, no, that's, that's pretty good. There is the aesthetic, and then the, whether it's safe to drink. And you  know, the safe to drink is interesting, because that's driven by national standards. And that creates a lot  of cost and a lot of burden in communities because they don't necessarily make sense for the community  and where it's at. They can produce a safe water that may not meet the standards. And so that is a whole  interesting thing. It's like you get this thing that says your water is bad, even though your water is perfectly  safe to drink. But it's not meeting some national standard that kind of doesn't apply well.  ",33:05
1093,21-22 Combined,INTERVIEW 13 ,222,1,Interviewer 1 ,Can you give an example?  ,34:01
1090,21-22 Combined,INTERVIEW 13 ,222,1,Interviewee ,"Yeah, so we have several systems that are groundwater under the direct influence of surface water. So  these are shallow wells, [REDACTED] is one of them. [REDACTED] has had this groundwater under direct  influence of surface water designation [REDACTED]. That well was put in in the [REDACTED]. And the state  just decided to reclassify it based on its depth and proximity to the river. There's never been a positive  coliform sample. There's never been anything scientifically that says that that water is not safe to drink.  But they don't meet the drinking water standard because now it's treated as surface water. Their systems  not good enough to treat surface water, doesn't make the right treatment points. So it could potentially  make you sick, although it never has. And so now, you know. So we have that same example, repeated  over and over in communities. So some reclassification at some level creates a problem. And like, it's not  really addressing a problem that really exists. [REDACTED], again, they're the same thing, they have a  GWUDI well, but that well has, like, always been solid. Never. I mean, it's like so. So they're on boil water  notice, like, permanently, they can't meet treatment standards. So, yeah, so stuff like that is pretty  common. And so, aesthetically, both of those are some of the best water that we have. But won't meet  the standard. And never made anybody sick. So, like, yeah. ",34:07
1094,21-22 Combined,INTERVIEW 13 ,222,1,Interviewer 1 ,"So pivoting a little bit. Seasonality, are there times of the year that you have specific problems or more  problems? ",36:06
1091,21-22 Combined,INTERVIEW 13 ,222,1,Interviewee ,"Yeah, I mean, right now we're in the midst of winter and things freeze. [REDACTED], it's raining out. But  um, you know, we'll be below zero by the end of the week, so things will freeze again. Right now we have  [REDACTED] water systems in the [REDACTED] that we have that are frozen up. So we have a lot of freeze  up issues. midwinter starting right around, well, starting at Thanksgiving. And then again, at New Year's,  two spikes in times that we see freeze-ups due to weather and days off coinciding in bad ways. Then come  spring, when we have break up, we have a lot of flooding on [REDACTED]. So that creates seasonal issues  there. This winter, we've had, we had a warm up at Christmas time that created a lot of treatment issues  with our surface water systems. We had a week of rain. And we saw water consistency changed from  what we see normally during the winter to normally what we see during the summer, which meant like ",36:19
1095,21-22 Combined,INTERVIEW 13 ,223,1,Interviewee ,"mid in a week, we had to all of the sudden change all of our treatment scheme from our winter program  to our summer program. And then like couple weeks later, we had to switch it all back. It created quite a  bit of disruption and a couple of the plants running out of water because they didn't catch that everything  changed until they dropped quite a bit of water level. So So yeah, so there are seasonal variations. Our  surface waters all generally have like a summer and a winter thing. With sometimes some special things  you have to do during break up when they have some real high turbidity issues. Groundwater is much  more stable throughout the year. But we do have a lot of seasonal issues with freezing, freezing pipes,  freezing water plants during the winter.  ",36:19
1099,21-22 Combined,INTERVIEW 13 ,223,1,Interviewer 1 ,"And what about, like long term weather changes? Is that affecting water infrastructure, like climate  change? ",38:27
1096,21-22 Combined,INTERVIEW 13 ,223,1,Interviewee ,"Yeah, you know, we also live [REDACTED]. So we have a lot of erosion issues. And sometimes that happens  drastically, we've noticed, you know, some communities, we've had to move back infrastructure. From  the river as the river erodes, we've actually like been lopping off parts of the pipe and like pulling it back,  so it doesn't go into the river. Which is an interesting, [REDACTED] getting close in one community to have  to move a whole part of the circulating main. And that will become a true emergency that no one's even  funded yet. And it will cost quite a bit to do to move that. That won't be an easy just dig it up and move it  project that'll be a couple of million dollars. So yeah, so we do see some issues with that. And it kinda you  know, it comes and goes. Sometimes we can see really fast erosion in a community, and then it can change  and we're like really slow down because something's changed in the river. It starts moving the other way.  We've seen more turbidity issues, not as many as were predicted with global warming. There was a lot of  predictions a few years ago, that it was going to spike way up more. It hasn't quite, but we have seen  changes in source water. So we'll see, it's always, it's always changing. But it's changing in some different  ways lately. So ",38:38
1100,21-22 Combined,INTERVIEW 13 ,223,1,Interviewer 1 ,"Looking at the big picture of water infrastructure that you work with, what's the big thing? If you could  change one thing if you had whatever you needed to have, a magic wand? ",40:14
1097,21-22 Combined,INTERVIEW 13 ,223,1,Interviewee ,"Yeah. Um, I think when I think of the magic wand, I think it changes by what I'm dealing with currently. ",40:32
1101,21-22 Combined,INTERVIEW 13 ,223,1,Interviewer 1 ,"Need a couple of wands? Okay, right. Yeah. ",40:46
1098,21-22 Combined,INTERVIEW 13 ,223,1,Interviewee ,"So there's different times where I see different problems. Lately, something I've been noticing, and I think  would be really helpful. It's not actually not the water plant operators. But it's the managers over the  water plant operators, or the village infrastructure, or city infrastructure, whichever it is, isn't a recipe for  success. So when there's problems in that management above the guy that's doing the thing on the  ground, it's just, it's a game changer, the right input the right things, a problem gets solved easy, the wrong ",40:48
1102,21-22 Combined,INTERVIEW 13 ,224,1,Interviewee ,"and we just flounder with it. And so that's one of the things I see is the magic wand, if I could wave anything  and change some of that, that management. But also like, we have a ton of aging infrastructure, that it  doesn't matter how good a management we have, we're putting band aids on top of band aid. And without  replacing that aging infrastructure, we're just, you know, we're never going to succeed. We're just going  to hold it off a little bit longer. So those are my two if I had two, the aging infrastructure, completely  would. And then some management things locally, I think can make a huge difference. And that's not  necessarily education, either. Everyone's like, oh, you need some more education, about management,  no one needs education about management. I think for a big part is I see that there's like changing,  changing how they do management at a local level to make it work locally. A lot of it's somebody told  them a plan, and they follow that plan. And, you know, I had water plant operators getting laid off the day  the water tank ran out of water. And I was in the village for emergency work. And they were getting told  to go home, we don't have money to pay you. I'm like there's a disconnect here. That's like, you know,  yeah, it was kind of like it showed like, they're using an outside plan of you know, this many dollars, you  know, you only have this, you need to cut this but like, they had a different problem. It didn't fit the  formula they had been taught of management and so yeah, so, so some of that some real customized to  like, drill down and find out what's not working in a particular situation and then like, fix it. That'd be my  magic wand. A little sociology, a little economics all waved together. ",40:48
1105,21-22 Combined,INTERVIEW 13 ,224,1,Interviewer 1 ,"When you're talking about management, and that sort of thing. I mean, I'm thinking of like there, the state  of Alaska has some sort of program to help tribes or rural administration, right. They kind of do audits or  whatever is that ",43:45
1103,21-22 Combined,INTERVIEW 13 ,224,1,Interviewee ,They have Rural Utility Business Administration? ,44:05
1106,21-22 Combined,INTERVIEW 13 ,224,1,Interviewer 1 ,RUBA ,44:12
1104,21-22 Combined,INTERVIEW 13 ,224,1,Interviewee ,"RUBA, I was trying think what it stood for, we just all say RUBA so often. And so yeah, they are tasked with  training in the business end of the water and sewer. And they also do a lot of the regulation of the business  end of the water and sewer. Over the years, they have leaned way more towards the regulation end than  the training end. And so yeah, a lot of they've been they've been limited internally due to their own  leadership decisions about travel to villages for I think [REDACTED] years. So their people have not been  out traveling to villages unless the village pays to bring them in. And so that has really limited their ability  to speak into a lot of those situations and improve. And honestly, most of the villages don't see value in  the advice they get. Very few of those RUBA people, might show a little my bias but, don't have business  experience. Have never actually worked in a water sewer utility. They're checking checklists. And it's  training by checklist. And so it's not necessarily the function training that someone on the ground needs.  So. ",44:13
1111,21-22 Combined,INTERVIEW 13 ,225,1,Interviewer 1 ,"And the training that they're doing, though, is would be for like a Tribal Administrator, kind of. Yeah,  they're not working with operators, are they? ",45:53
1107,21-22 Combined,INTERVIEW 13 ,225,1,Interviewee ,"They're not working with the operators. No, it's doing some quick books, you know, do you? Do you have  the right? Are minutes getting done right at your board meetings, is your water plant operator giving a  report to the tribe? It's just kind of some things like that, but they're like these check points. Like, this is  what best practices, you should do this, but those don't necessarily correlate to the problem that may be  in a community. So. And they're not there in the community to know if it's correlating or not. That's part  of the issue. You got to kind of be present. Get into things find out. ",46:02
1112,21-22 Combined,INTERVIEW 13 ,225,1,Interviewer 1 ,"Well I think we're probably going to pivot a little bit and talk about operators and operator training. Before  I do, [REDACTED], is there anything? Anything? ",46:46
1114,21-22 Combined,INTERVIEW 13 ,225,1,Interviewer 2 ,"No, I don't think so. I think I asked my follow up, follow up questions as they were coming. Well, actually,  one thing you might have already said it, but how many communities do you serve? Or work with? Do you  have kind of a set amount? Or? ",47:00
1108,21-22 Combined,INTERVIEW 13 ,225,1,Interviewee ,[REDACTED] ,47:13
1115,21-22 Combined,INTERVIEW 13 ,225,1,Interviewer 2 ,"Okay, so [REDACTED] remote maintenance workers have maybe [REDACTED] or around that load? ",47:36
1109,21-22 Combined,INTERVIEW 13 ,225,1,Interviewee ,Yeah. Anywhere from [REDACTED] ,47:42
1116,21-22 Combined,INTERVIEW 13 ,225,1,Interviewer 2 ,Okay. Thanks. ,47:49
1113,21-22 Combined,INTERVIEW 13 ,225,1,Interviewer 1 ,[REDACTED] ,47:52
1110,21-22 Combined,INTERVIEW 13 ,225,1,Interviewee ,"Yeah. We do classes that are well required if you want to pass the, the level one or level two test. So we  generally do small treated and level one. We haven't offered any level two trainings in a long time in our  region. So yeah, we do those in person, we also do some specialty skills training, we do boiler training, we  do electrical controls. We're developing a plumbing training right now. Basic pipe fitting, basically. So we  do both some book training, which would be the level one, level two, and lagoon. Those are all kind of  book-based lecture style. Our other trainings, our skill trainings, are very little lecture, a lot of hands-on  skills. ",48:02
1120,21-22 Combined,INTERVIEW 13 ,226,1,Interviewer 1 ,What do you find works better? ,49:05
1117,21-22 Combined,INTERVIEW 13 ,226,1,Interviewee ,"Hands down, hands-on skills. Our boiler class and our electrical controls, they fill up every time, there's  wait lists. People walk out the class saying I learned something, I could do something. We get reports back.  When people go back from training, they're like, Oh, I went and did this thing in my plant that I didn't  know how to do or I was afraid to do before. I've never had someone call me excited after they, you know,  left level one training the week later be like, Yeah, I went back and I redid this thing in my plant because I  so much understand it better. That was never the case. So ",49:09
1121,21-22 Combined,INTERVIEW 13 ,226,1,Interviewer 1 ,"Is it hard to find people to run water plants? I mean, is there openings or turnover or is that an issue? ",49:46
1118,21-22 Combined,INTERVIEW 13 ,226,1,Interviewee ,"Yeah, there's a high level of turnover. And it's for different reasons. Some of it is, is a salary, it doesn't pay  well in a lot of communities. Some of it is, is not being able to pass the test. There is a stigma that a lot of  operators have, when they take the test over and over and they can't pass, they feel like someone else  could do it better, even if they're a good operator. So some of that, some of it's support. I've had some  really good operators, highly skilled, just get fed up not having good support around them in the  community. When something goes wrong, it's all on them. And so they just after so long of that, just, you  know, they're done, and they move on to something else, or just be unemployed, because it's better to  be unemployed than have that stress. So ",49:59
1122,21-22 Combined,INTERVIEW 13 ,226,1,Interviewer 1 ,"Okay, so just to follow up on that a little bit, is it a good job? I mean, not just the pay thing, but I think in  the public thing, public perception, right? Are these people seen as, like in a positive light? Or is there  community support? ",51:00
1119,21-22 Combined,INTERVIEW 13 ,226,1,Interviewee ,"It's a great question, um, I think it can be a good job. I think most of the water plant operators deal with  more complaints. No one's like, wow, this water is great that's coming out of our faucet. But when  something comes out of their faucet that doesn't look great, they sure do say something to the operator.  So it's one of those jobs that when you're doing your job well, no one notices and no one seems to care  or know. But when you don't do your job, or something goes wrong, everybody has a comment and a  complaint. So I think that's kind of hard for the operators. And the money issue, that's a decision made  locally, right? That's a decision made locally, I have operators that make anywhere from 10/12 dollars an  hour, up to 20/30 dollars an hour. So great disparity across where they're at. Honestly, like everyone  thinks, like, increase the salary, that's the answer. One place to increase the salary. Everyone's like, Yay,  great, then they're like, oh, we can't afford this. So they cut everybody's hours. Net, the people ended up  actually losing money on the deal. And, you know, they didn't know how good operators they had. So they  burnt their operators, so their operators, turn the boilers back on. And now they've spent $15,000 in fuel  this year that they wouldn't have spent before because the operator was there and like on top of whether  the boilers needed to be on or not that day, and he would actually turn them off on days it didn't need to ",51:23
1123,21-22 Combined,INTERVIEW 13 ,227,1,Interviewee ,"be on. Well, now they spent more money. It wasn't a whole picture. And so yeah, operators, generally  they need to get paid well. And they need. I mean, I think really the support to know that they're doing  something good. I think most of my most of my operators that are good at their job, they care about the  position and they care about the job. And they will take less money if they get support and recognition  for what they're doing. So because they see it as a service to the community. ",51:23
1127,21-22 Combined,INTERVIEW 13 ,227,1,Interviewer 1 ,"And then the other thing that you mentioned was passing a test, coming in for training and then passing  a test. That's also a barrier. ",53:52
1124,21-22 Combined,INTERVIEW 13 ,227,1,Interviewee ,That's a huge barrier.  ,54:07
1128,21-22 Combined,INTERVIEW 13 ,227,1,Interviewer 1 ,Yeah. So talk to us about that. Tell us about the test. ,54:08
1125,21-22 Combined,INTERVIEW 13 ,227,1,Interviewee ,"So our pass rates in rural Alaska are horrible. You know, I can't remember seven to ten percent, on  average, something like that. Those are actually good pass rates for a standard class. We've done some  things lately working on some different ways to do the teaching, that have got those higher, but they're  still less than 50%. I think the highest we got was 40%. And everybody in the state thought it was  phenomenal. And that took like a crazy amount of hours into that training to get that amount of pass rate.  Most people will take this test multiple times before they pass it. We stopped doing level two tests  because most people eventually will get their level one, if they stick with it long enough. Most of them  will never pass the level two test. We have RMWs that have failed the level two test and not by a lot, by  one or 2%, multiple times. They know more about water treatment than I do. They just don't test well.  And so one of the common things we hear is ""best answer"" questions, or as they call them locally ""trick  questions"". There were trick questions on the test. Best answer questions are almost impossible for  people that English is their second language, where they don't have real solid grasp on English book  learning to understand and break down those questions to get the right answer. So then at that point,  now they're just one in 4, whether they're gonna get it right, right, because it's multiple choice, and they're  gonna stab in the dark, because they don't, they don't get actually what it's saying. A lot of these people,  if we read them the test questions, they can tell us the correct answer. But if they read it, they struggle to  get the correct answer. So it's really amazing to see a guy that can answer every question in class, come  up short on the test, every time. You're like, he's going to nail it this time, and but he just doesn't quite,  when he reads it himself, it doesn't sound the same as when I read the question in class. So. ",54:13
1129,21-22 Combined,INTERVIEW 13 ,227,1,Interviewer 1 ,"So I feel like I probably know the answer to this. But in terms of, is it more important that an operator, get  hands-on like on the job training, or certification and pass the test?  ",56:44
1126,21-22 Combined,INTERVIEW 13 ,227,1,Interviewee ,"Depends on who you ask. If you ask operator certification at DEC, they will say they need to pass their  test. It's actually become a huge issue compliance wise to have a non-certified operator, we're starting to ",57:02
1131,21-22 Combined,INTERVIEW 13 ,228,1,Interviewee ,"see a lot of issues in DEC, pushing on that issue. I'm pushing communities hard to get someone to pass  the test. Or my point of view, the test is irrelevant. I've had people that could pass the test, but couldn't  operate the plant. I want people that can operate the plant that can do it well. They can learn the  intricacies of their system, how to make it work. And do that every time. If they can pass the test, great. I  tell administrators like you should send them to training. It's a goal to get them to pass the test. But it's  definitely not the gold standard, how they operate their system day in and day out. That's, that's what's  important. And so, yeah. ",57:02
1134,21-22 Combined,INTERVIEW 13 ,228,1,Interviewer 1 ,"So if you could do anything, if you were in charge of the regulation, what would you do? What's the  answer? ",58:14
1132,21-22 Combined,INTERVIEW 13 ,228,1,Interviewee ,"Ah, the state has been working for years and spent several million dollars on system-specific certification.  And they have fallen short at ever getting that accomplished. So and the concept in that would be that  we have an operator that's taken the test a couple times, can't pass. Instead of them getting this huge  general test that's for the whole nation, they would get tested on specific components that they have,  and they would get certified to work in their plant, it would not be transferable to another plant. It's for  their plant. And they'd have to take several smaller tests, you know, in chunks, that would address the  components that they have and the things that they need to have. I think that is the easiest way. Just  getting that in place. And people can be certified to what they know and where they're at and we could  say yes, they're safe to operate their system. Can they go to Florida and operate a water plant? No. But  honestly, could I go to Florida and operate a water plant? I mean, I know the generals and I passed the  test, but I'm gonna be a fish out of water down there, like you know, it's not even really applicable. So I  think that's the magic wand. And we spent so much time and got nowhere. I mean, we've literally been  working on this for years. I don't remember the first time I've reviewed curriculum, but that was like, easily  12 years ago. And we still don't have it in place. Several contractors that have been paid to build it, the  state, like killed the project multiple times, they've never got a finished product. ",58:24
1154,21-22 Combined,INTERVIEW 14 ,232,2,Interviewer 1 ,"[REDACTED] So we'll start a little bit set the background. You mentioned just before that, you've been  about [REDACTED] years, and now you're in school, right? Hopefully, that's going. Going well? ",00:00
1149,21-22 Combined,INTERVIEW 14 ,232,2,Interviewee ,"yeah, I just started the semester yesterday. So you know, already have a full list. We'll schedule things I  need to take care of.  ",01:32
1155,21-22 Combined,INTERVIEW 14 ,232,2,Interviewer 1 ,Okay. So how long have you lived in the area? ,01:41
1150,21-22 Combined,INTERVIEW 14 ,232,2,Interviewee ,"For [REDACTED] years. Yeah, moved there in [REDACTED]. ",01:45
1156,21-22 Combined,INTERVIEW 14 ,232,2,Interviewer 1 ,What brought you to [REDACTED]? ,01:52
1151,21-22 Combined,INTERVIEW 14 ,232,2,Interviewee ,I got hired and started working for the [REDACTED] and yah got experience working with water plants and  the clinics out here. So jumped on that. ,01:54
1157,21-22 Combined,INTERVIEW 14 ,232,2,Interviewer 1 ,"Was that. How'd you find [REDACTED]? I mean, that what brought you what, what, why there and not  [REDACTED], right? ",02:08
1152,21-22 Combined,INTERVIEW 14 ,232,2,Interviewee ,"Yeah, so I wanted to live remote. I knew from working with the or having an internship with the  [REDACTED]. After well, during college, I had to take an internship, I took it with the [REDACTED] the  remote lifestyle. I had a teacher mentor in at [REDACTED] that led me in this direction, I thought it'd be a  good fit for me, knowing my lifestyle and what I wanted to do with it. And he led me in this direction. And  applied for the position. [REDACTED] had an interview with me. And yeah, things just kind of evolved into  taking the position and moving out to Alaska sight unseen. Never been to the state before and just  dropped me and [REDACTED]. Been good to me ever since. ",02:17
1158,21-22 Combined,INTERVIEW 14 ,232,2,Interviewer 1 ,"Yeah, it seems like it's funny. People in that situation end up making it a year or they are there their whole  life. There's not much in the middle. Yeah. And your degree is in [REDACTED]. ",03:15
1153,21-22 Combined,INTERVIEW 14 ,232,2,Interviewee ,[REDACTED] ,03:30
1162,21-22 Combined,INTERVIEW 14 ,233,1,Interviewer 1 ,"Okay. All right. Is there any other? You mentioned an internship? Is there any other education? Or training  that you feel like is relevant? Training, formal or informal? How did you learn to do what you do? Or did? ",03:32
1159,21-22 Combined,INTERVIEW 14 ,233,1,Interviewee ,"Well, there's definitely classes, you know, that dealt with very lower 48 water plants and other types of  air quality. They're, yeah, they're lower 48. I mean, you're when you learn about these water plants there  for hundreds of 1000s of people, and not just a small community of 3 to 700 people, maybe 1000 or 2000.  So learning the basics of water quality happened that way. But when I came here, it was mostly on-site  training. A lot of the like, the first or second week we got here, we I was a part of training water plant  operators. So I was learning it and they were learning it pretty much. I was just I was reading it pretty  much right before and doing my best to teach. And for air quality, some of the projects we've done in the  past. It's not really guided to that so I'm gonna skip that. Yeah, for water plants, mostly just following the  remote maintenance workers and completing trainings with water plant operators. ",03:47
1163,21-22 Combined,INTERVIEW 14 ,233,1,Interviewer 1 ,"Who was that when you started with, is that? Was that [REDACTED] and [REDACTED]? Or did you do you  start when you said you started? You're right in the in the class, water plant operator class? [REDACTED]  right away? ",04:57
